序号	行号	原文	改后	依据
187	9411	先腊一日，大傩，谓之逐疫。其仪：选中黄门子弟年十岁以上，十二以下，百二十人为侲子。皆赤帻皁制，执大□。方相氏黄金四目，蒙熊皮，玄衣朱裳，执戈扬盾。十二兽有衣毛角。中黄门行之，冗从仆射将之，以逐恶鬼于禁中。夜漏上水，朝臣会，侍中、尚书、御史、谒者、虎贲、羽林郎将执事，皆赤帻陛卫。乘舆御前殿。黄门令奏曰：“侲子备，请逐疫。”于是中黄门倡，振子和，曰：“甲作食凶，胇胃食虎，雄伯食魅，腾简食不祥，揽诸食咎，伯奇食梦，强梁、祖明共食磔死寄生，委随食观，错断食巨，穷奇、腾根共食蛊。凡使十二神追恶凶，赫女躯，拉女干，节解女肉，抽女肺肠。女不急去，后者为粮！”因作方相与十二兽樭。嚾呼，周遍前后省三过，持炬火，送疫出端门；门外驺骑传炬出宫，司马阙门门外五营骑士传火弃雒水中。百官官府各以木面兽能为傩人师讫，设桃梗、郁櫑、苇茭毕，执事陛者罢。苇戟、桃杖以赐公、卿、将军、特侯、诸侯云。	先腊一日，大傩，谓之逐疫。其仪：选中黄门子弟年十岁以上，十二以下，百二十人为侲子。皆赤帻皁制，执大鼗。方相氏黄金四目，蒙熊皮，玄衣朱裳，执戈扬盾。十二兽有衣毛角。中黄门行之，冗从仆射将之，以逐恶鬼于禁中。夜漏上水，朝臣会，侍中、尚书、御史、谒者、虎贲、羽林郎将执事，皆赤帻陛卫。乘舆御前殿。黄门令奏曰：“侲子备，请逐疫。”于是中黄门倡，振子和，曰：“甲作食凶，胇胃食虎，雄伯食魅，腾简食不祥，揽诸食咎，伯奇食梦，强梁、祖明共食磔死寄生，委随食观，错断食巨，穷奇、腾根共食蛊。凡使十二神追恶凶，赫女躯，拉女干，节解女肉，抽女肺肠。女不急去，后者为粮！”因作方相与十二兽樭。嚾呼，周遍前后省三过，持炬火，送疫出端门；门外驺骑传炬出宫，司马阙门门外五营骑士传火弃雒水中。百官官府各以木面兽能为傩人师讫，设桃梗、郁櫑、苇茭毕，执事陛者罢。苇戟、桃杖以赐公、卿、将军、特侯、诸侯云。	四库本卷15'執大鼗'；点校本同；鼗U+9F17非GB2312故□；宋本字形待补验
188	9471	凡乐奏青阳、朱明、西皓、玄冥，及云翘、育命舞。中营四门，门用席十八枚，外营四门，门用席三十六枚，凡用席二百一十六枚，皆莞簟，率一席三神。日、月、北斗无陛郭醊。既送神，*(□)**[燎]*俎实于坛南巳地。 建武三十年二月，髃臣上言，即位三十年，宜封禅泰山。诏书曰：“即位三十年，百姓怨气满腹，吾谁欺，欺天乎？曾谓泰山不如林放，何事污七十二代之编录！桓公欲封，管仲非之。若郡县远遣吏上寿，盛称虚美，必髡，兼令屯田。”从此髃臣不敢复言。三月，上幸鲁，过泰山，告太守以上过故，承诏祭山及梁父。时虎贲中郎将梁松等议：“记曰‘齐将有事泰山，先有事配林’，盖诸侯之礼也。河狱视公侯，王者祭焉。宜无即事之渐，不祭配林。” 律，在所给祠具；及行，沉祠佗川水，先驱投石，少府给珪璧。不满百里者不沉。”	凡乐奏青阳、朱明、西皓、玄冥，及云翘、育命舞。中营四门，门用席十八枚，外营四门，门用席三十六枚，凡用席二百一十六枚，皆莞簟，率一席三神。日、月、北斗无陛郭醊。既送神，*(燌)**[燎]*俎实于坛南巳地。 建武三十年二月，髃臣上言，即位三十年，宜封禅泰山。诏书曰：“即位三十年，百姓怨气满腹，吾谁欺，欺天乎？曾谓泰山不如林放，何事污七十二代之编录！桓公欲封，管仲非之。若郡县远遣吏上寿，盛称虚美，必髡，兼令屯田。”从此髃臣不敢复言。三月，上幸鲁，过泰山，告太守以上过故，承诏祭山及梁父。时虎贲中郎将梁松等议：“记曰‘齐将有事泰山，先有事配林’，盖诸侯之礼也。河狱视公侯，王者祭焉。宜无即事之渐，不祭配林。” 律，在所给祠具；及行，沉祠佗川水，先驱投石，少府给珪璧。不满百里者不沉。”	四库本卷17'既送神燌爼實於壇南已地'；燌(⿰火賁)U+710C非GB2312故殆知阁□；点校改'燎'，今以库本同系四库本还原为'燌'
190	9491	德不周洽，不得辄议斯事；功不弘济，不得髣□斯礼。旷代一有，其道至高。	德不周洽，不得辄议斯事；功不弘济，不得髣髴斯礼。旷代一有，其道至高。	四库本卷17'不得髣髴斯禮'；髴U+9AF4非GB2312故□；点校本同读'髴'
209	11157	徐广曰：“金为马*(□)**[文]*髦。”	徐广曰：“金为马*(文)**[文]*髦。”	四库本卷39注文'徐廣曰金為馬文髦'+点校同读'文'；宋本p777注文字形待补验
211	11193	诸马之文：案乘舆，金*(鍐)**[鋄]*方釳，插翟象镳，龙画焹，沫升龙，赤扇汗，青两翅，燕尾。驸马，左右赤珥流苏，飞鸟节，赤膺兼。皇太子或亦如之。王、公、列侯，镂*(锡□)**[钖文]*髦，朱镳朱鹿，朱文，绛扇汗，青翅燕尾。卿以下有騑者，缇扇汗，青翅尾，当卢*(□)**[文]*髦，上下皆通。	诸马之文：案乘舆，金*(鍐)**[鋄]*方釳，插翟象镳，龙画焹，沫升龙，赤扇汗，青两翅，燕尾。驸马，左右赤珥流苏，飞鸟节，赤膺兼。皇太子或亦如之。王、公、列侯，镂*(锡义)**[钖义]*髦，朱镳朱鹿，朱文，绛扇汗，青翅燕尾。卿以下有騑者，缇扇汗，青翅尾，当卢*(□)**[文]*髦，上下皆通。	宋刻本p784目视：大字'王公列侯鏤錫义髦'，义三笔无横、决非文；四库本卷39'鏤鍚义髦'互证；义通仪(威仪)，点校'文'系误改
212	11193	诸马之文：案乘舆，金*(鍐)**[鋄]*方釳，插翟象镳，龙画焹，沫升龙，赤扇汗，青两翅，燕尾。驸马，左右赤珥流苏，飞鸟节，赤膺兼。皇太子或亦如之。王、公、列侯，镂*(锡义)**[钖义]*髦，朱镳朱鹿，朱文，绛扇汗，青翅燕尾。卿以下有騑者，缇扇汗，青翅尾，当卢*(□)**[文]*髦，上下皆通。	诸马之文：案乘舆，金*(鍐)**[鋄]*方釳，插翟象镳，龙画焹，沫升龙，赤扇汗，青两翅，燕尾。驸马，左右赤珥流苏，飞鸟节，赤膺兼。皇太子或亦如之。王、公、列侯，镂*(锡义)**[钖义]*髦，朱镳朱鹿，朱文，绛扇汗，青翅燕尾。卿以下有騑者，缇扇汗，青翅尾，当卢*(义)**[义]*髦，上下皆通。	宋刻本p784左页目视：大字'當盧义髦上下皆通'，义字形铁证；四库本'當盧义髦'互证
178	9280	求□日所入度，以夜半到明日所行分*(分)*减蔀法，其余即夜半到昬所行分也。	求昬日所入度，以夜半到明日所行分*(分)*减蔀法，其余即夜半到昬所行分也。	四库本卷13术文'求昬日所入度以夜半到明日所行分分減蔀法其餘即夜半到昬所行分'直证；昬U+6606非GB2312
179	9283	求□月所入度：以明积分减月周，其余满蔀法得一度，加夜半，则昬月所在度也。	求昬月所入度：以明积分减月周，其余满蔀法得一度，加夜半，则昬月所在度也。	四库本卷13'求昬月所入度以明積分減月周'直证
180	9328	二十四气日所在黄道去极晷景昼漏刻夜漏刻□中星旦中星二十四气日所在黄道去极晷景昼漏刻夜漏刻□中星旦中星冬至斗二十一度*八分退二*百一十五度丈三尺四十五五十五奎六*弱*亢二*少强退一*小寒女二度*七分进一*百一十三*强*丈二尺三寸四十五*八分*五十四*二分*娄六*半强退一*氐七*少弱退二*大寒虚五度*十四分进二*百一十*大弱*丈一尺四十六*八分*五十三*八分*胃十一*半强退一*心*半退三*立春危十度*二十一分进二*百六*少强*九尺六寸四十八*六分*五十一*四分*毕五*少弱退三*尾七*半弱退三*雨水室八度*二十八分进三*百一*强*七尺九寸*五分*五十*八分*四十九*二分*参六*半弱退四*箕*大弱退三*惊蛰壁八度*三分进一*九十五*强*六尺五寸五十三*三分*四十六*七分*井十七*少弱退三*斗*少退二*春分奎十四度*十分*八十九*强*五尺二寸*五分*五十五*八分*四十四*二分*鬼四斗十一*弱退二*清明胃一度*十七分退一*八十三*少弱*四尺一寸*五分*五十八*三分*四十一*七分*星四*大进一*斗二十一*半退二*谷雨昴二度*二十四分退二*七十七*大强*三尺二寸六十*五分*三十九*五分*张十七*进一*牛六*半*立夏毕六度*三十一分退三*七十三*少弱*二尺五寸*二分*六十二*四分*三十七*六分*翼十七*大进二*女十*少进一*小满参四度*六分退四*六十九*大弱*尺九寸*八分*六十三*九分*三十六*一分*角*大弱*危*大弱进二*芒种井十度*十三分退三*六十七*少弱*尺六寸*八分*六十四*九分*三十五*一分*亢五*大退一*危十四*强进二*夏至井二十五度*二十分退三*六十七*强*尺五寸六十五三十五氐十二*少弱退二*室十二*少弱进三*小暑柳三度*二十七分*六十七*大强*尺七寸六十四*七分*三十五*三分*尾一*大强退三*奎二*大强*大暑星四度*二分进一*七十二尺六十三*八分*三十六*二分*尾十五*半弱退三*娄三*大退一*立秋张十二度*九分进一*七十三*半强*二尺五寸*五分*六十二*三分*三十七*七分*箕九*大强退三*胃九*弱退一*处暑翼九度*十六分进二*七十八*半强*三尺三寸*三分*六十*二分*三十九*八分*斗十*少退二*毕三*大退三*白露轸六度*二十三分进一*八十四*少强*四尺三寸*五分*五十七*八分*四十二*二分*斗二十一*强退二*参五*半弱退四*秋分角四度*三十分*九十*半强*五尺五寸五十五*二分*四十四*八分*牛五*少*井十六*少强退三*寒露亢八度*五分退一*九十六*大强*六尺八寸*五分*五十二*六分*四十七*四分*女七*大进一*鬼三*少强*霜降氐十四度*十二分退二*百二*少强*八尺四寸五十*三分*四十九*七分*虚六*大进二*星三*大强进一*立冬尾四度*十九分退三*百七*少强*丈四十八*二分*五十一*八分*危八*强进二*张十五*大强进一*小雪箕一度*二十六分退三*百一十一*弱*丈一尺四寸四十六*七分*五十三*三分*室三*半强进三*翼十五*大强进二*大雪斗六度*一分退二*百一十三*大强*丈二尺五寸*六分*四十五*五分*五十四*五分*壁*半强进一*轸十五*弱进一*	二十四气日所在黄道去极晷景昼漏刻夜漏刻昬中星旦中星二十四气日所在黄道去极晷景昼漏刻夜漏刻□中星旦中星冬至斗二十一度*八分退二*百一十五度丈三尺四十五五十五奎六*弱*亢二*少强退一*小寒女二度*七分进一*百一十三*强*丈二尺三寸四十五*八分*五十四*二分*娄六*半强退一*氐七*少弱退二*大寒虚五度*十四分进二*百一十*大弱*丈一尺四十六*八分*五十三*八分*胃十一*半强退一*心*半退三*立春危十度*二十一分进二*百六*少强*九尺六寸四十八*六分*五十一*四分*毕五*少弱退三*尾七*半弱退三*雨水室八度*二十八分进三*百一*强*七尺九寸*五分*五十*八分*四十九*二分*参六*半弱退四*箕*大弱退三*惊蛰壁八度*三分进一*九十五*强*六尺五寸五十三*三分*四十六*七分*井十七*少弱退三*斗*少退二*春分奎十四度*十分*八十九*强*五尺二寸*五分*五十五*八分*四十四*二分*鬼四斗十一*弱退二*清明胃一度*十七分退一*八十三*少弱*四尺一寸*五分*五十八*三分*四十一*七分*星四*大进一*斗二十一*半退二*谷雨昴二度*二十四分退二*七十七*大强*三尺二寸六十*五分*三十九*五分*张十七*进一*牛六*半*立夏毕六度*三十一分退三*七十三*少弱*二尺五寸*二分*六十二*四分*三十七*六分*翼十七*大进二*女十*少进一*小满参四度*六分退四*六十九*大弱*尺九寸*八分*六十三*九分*三十六*一分*角*大弱*危*大弱进二*芒种井十度*十三分退三*六十七*少弱*尺六寸*八分*六十四*九分*三十五*一分*亢五*大退一*危十四*强进二*夏至井二十五度*二十分退三*六十七*强*尺五寸六十五三十五氐十二*少弱退二*室十二*少弱进三*小暑柳三度*二十七分*六十七*大强*尺七寸六十四*七分*三十五*三分*尾一*大强退三*奎二*大强*大暑星四度*二分进一*七十二尺六十三*八分*三十六*二分*尾十五*半弱退三*娄三*大退一*立秋张十二度*九分进一*七十三*半强*二尺五寸*五分*六十二*三分*三十七*七分*箕九*大强退三*胃九*弱退一*处暑翼九度*十六分进二*七十八*半强*三尺三寸*三分*六十*二分*三十九*八分*斗十*少退二*毕三*大退三*白露轸六度*二十三分进一*八十四*少强*四尺三寸*五分*五十七*八分*四十二*二分*斗二十一*强退二*参五*半弱退四*秋分角四度*三十分*九十*半强*五尺五寸五十五*二分*四十四*八分*牛五*少*井十六*少强退三*寒露亢八度*五分退一*九十六*大强*六尺八寸*五分*五十二*六分*四十七*四分*女七*大进一*鬼三*少强*霜降氐十四度*十二分退二*百二*少强*八尺四寸五十*三分*四十九*七分*虚六*大进二*星三*大强进一*立冬尾四度*十九分退三*百七*少强*丈四十八*二分*五十一*八分*危八*强进二*张十五*大强进一*小雪箕一度*二十六分退三*百一十一*弱*丈一尺四寸四十六*七分*五十三*三分*室三*半强进三*翼十五*大强进二*大雪斗六度*一分退二*百一十三*大强*丈二尺五寸*六分*四十五*五分*五十四*五分*壁*半强进一*轸十五*弱进一*	四库本卷13二十四气表'夜漏刻五十五[昬中星奎六]旦中星亢二'直证；宋本表格字形待补验
181	9328	二十四气日所在黄道去极晷景昼漏刻夜漏刻昬中星旦中星二十四气日所在黄道去极晷景昼漏刻夜漏刻□中星旦中星冬至斗二十一度*八分退二*百一十五度丈三尺四十五五十五奎六*弱*亢二*少强退一*小寒女二度*七分进一*百一十三*强*丈二尺三寸四十五*八分*五十四*二分*娄六*半强退一*氐七*少弱退二*大寒虚五度*十四分进二*百一十*大弱*丈一尺四十六*八分*五十三*八分*胃十一*半强退一*心*半退三*立春危十度*二十一分进二*百六*少强*九尺六寸四十八*六分*五十一*四分*毕五*少弱退三*尾七*半弱退三*雨水室八度*二十八分进三*百一*强*七尺九寸*五分*五十*八分*四十九*二分*参六*半弱退四*箕*大弱退三*惊蛰壁八度*三分进一*九十五*强*六尺五寸五十三*三分*四十六*七分*井十七*少弱退三*斗*少退二*春分奎十四度*十分*八十九*强*五尺二寸*五分*五十五*八分*四十四*二分*鬼四斗十一*弱退二*清明胃一度*十七分退一*八十三*少弱*四尺一寸*五分*五十八*三分*四十一*七分*星四*大进一*斗二十一*半退二*谷雨昴二度*二十四分退二*七十七*大强*三尺二寸六十*五分*三十九*五分*张十七*进一*牛六*半*立夏毕六度*三十一分退三*七十三*少弱*二尺五寸*二分*六十二*四分*三十七*六分*翼十七*大进二*女十*少进一*小满参四度*六分退四*六十九*大弱*尺九寸*八分*六十三*九分*三十六*一分*角*大弱*危*大弱进二*芒种井十度*十三分退三*六十七*少弱*尺六寸*八分*六十四*九分*三十五*一分*亢五*大退一*危十四*强进二*夏至井二十五度*二十分退三*六十七*强*尺五寸六十五三十五氐十二*少弱退二*室十二*少弱进三*小暑柳三度*二十七分*六十七*大强*尺七寸六十四*七分*三十五*三分*尾一*大强退三*奎二*大强*大暑星四度*二分进一*七十二尺六十三*八分*三十六*二分*尾十五*半弱退三*娄三*大退一*立秋张十二度*九分进一*七十三*半强*二尺五寸*五分*六十二*三分*三十七*七分*箕九*大强退三*胃九*弱退一*处暑翼九度*十六分进二*七十八*半强*三尺三寸*三分*六十*二分*三十九*八分*斗十*少退二*毕三*大退三*白露轸六度*二十三分进一*八十四*少强*四尺三寸*五分*五十七*八分*四十二*二分*斗二十一*强退二*参五*半弱退四*秋分角四度*三十分*九十*半强*五尺五寸五十五*二分*四十四*八分*牛五*少*井十六*少强退三*寒露亢八度*五分退一*九十六*大强*六尺八寸*五分*五十二*六分*四十七*四分*女七*大进一*鬼三*少强*霜降氐十四度*十二分退二*百二*少强*八尺四寸五十*三分*四十九*七分*虚六*大进二*星三*大强进一*立冬尾四度*十九分退三*百七*少强*丈四十八*二分*五十一*八分*危八*强进二*张十五*大强进一*小雪箕一度*二十六分退三*百一十一*弱*丈一尺四寸四十六*七分*五十三*三分*室三*半强进三*翼十五*大强进二*大雪斗六度*一分退二*百一十三*大强*丈二尺五寸*六分*四十五*五分*五十四*五分*壁*半强进一*轸十五*弱进一*	二十四气日所在黄道去极晷景昼漏刻夜漏刻昬中星旦中星二十四气日所在黄道去极晷景昼漏刻夜漏刻昬中星旦中星冬至斗二十一度*八分退二*百一十五度丈三尺四十五五十五奎六*弱*亢二*少强退一*小寒女二度*七分进一*百一十三*强*丈二尺三寸四十五*八分*五十四*二分*娄六*半强退一*氐七*少弱退二*大寒虚五度*十四分进二*百一十*大弱*丈一尺四十六*八分*五十三*八分*胃十一*半强退一*心*半退三*立春危十度*二十一分进二*百六*少强*九尺六寸四十八*六分*五十一*四分*毕五*少弱退三*尾七*半弱退三*雨水室八度*二十八分进三*百一*强*七尺九寸*五分*五十*八分*四十九*二分*参六*半弱退四*箕*大弱退三*惊蛰壁八度*三分进一*九十五*强*六尺五寸五十三*三分*四十六*七分*井十七*少弱退三*斗*少退二*春分奎十四度*十分*八十九*强*五尺二寸*五分*五十五*八分*四十四*二分*鬼四斗十一*弱退二*清明胃一度*十七分退一*八十三*少弱*四尺一寸*五分*五十八*三分*四十一*七分*星四*大进一*斗二十一*半退二*谷雨昴二度*二十四分退二*七十七*大强*三尺二寸六十*五分*三十九*五分*张十七*进一*牛六*半*立夏毕六度*三十一分退三*七十三*少弱*二尺五寸*二分*六十二*四分*三十七*六分*翼十七*大进二*女十*少进一*小满参四度*六分退四*六十九*大弱*尺九寸*八分*六十三*九分*三十六*一分*角*大弱*危*大弱进二*芒种井十度*十三分退三*六十七*少弱*尺六寸*八分*六十四*九分*三十五*一分*亢五*大退一*危十四*强进二*夏至井二十五度*二十分退三*六十七*强*尺五寸六十五三十五氐十二*少弱退二*室十二*少弱进三*小暑柳三度*二十七分*六十七*大强*尺七寸六十四*七分*三十五*三分*尾一*大强退三*奎二*大强*大暑星四度*二分进一*七十二尺六十三*八分*三十六*二分*尾十五*半弱退三*娄三*大退一*立秋张十二度*九分进一*七十三*半强*二尺五寸*五分*六十二*三分*三十七*七分*箕九*大强退三*胃九*弱退一*处暑翼九度*十六分进二*七十八*半强*三尺三寸*三分*六十*二分*三十九*八分*斗十*少退二*毕三*大退三*白露轸六度*二十三分进一*八十四*少强*四尺三寸*五分*五十七*八分*四十二*二分*斗二十一*强退二*参五*半弱退四*秋分角四度*三十分*九十*半强*五尺五寸五十五*二分*四十四*八分*牛五*少*井十六*少强退三*寒露亢八度*五分退一*九十六*大强*六尺八寸*五分*五十二*六分*四十七*四分*女七*大进一*鬼三*少强*霜降氐十四度*十二分退二*百二*少强*八尺四寸五十*三分*四十九*七分*虚六*大进二*星三*大强进一*立冬尾四度*十九分退三*百七*少强*丈四十八*二分*五十一*八分*危八*强进二*张十五*大强进一*小雪箕一度*二十六分退三*百一十一*弱*丈一尺四寸四十六*七分*五十三*三分*室三*半强进三*翼十五*大强进二*大雪斗六度*一分退二*百一十三*大强*丈二尺五寸*六分*四十五*五分*五十四*五分*壁*半强进一*轸十五*弱进一*	同#180，表头昬中星
182	9339	故黄帝造历，元起辛卯，而颛顼用乙卯，虞用戊午，夏用丙寅，殷用甲寅，周用丁巳，鲁用庚子。汉兴承秦，初用乙卯，至武帝元封，不与天合，乃会术士作太初历，元以丁丑。王莽之际，刘歆作三统，追太初前*(世)**[卅]*一元，得五星会庚戌之岁，以为上元。太初历到章帝元和，旋复疏阔，征能术者课校诸历，定朔稽元，追汉*(三)***十五年庚辰之岁，追朔一日，乃与天合，以为四分历元。加六百五元一纪，上得庚申。有近于纬，而岁不摄提，以辨历者得开其说，而其元寭与纬同，同则或不得于天。然历之兴废，以疏密课，固不主于元。光和元年中，议郎蔡邕、郎中刘洪补续律历志，邕能着文，清浊钟律，洪能为筭，述□三光。今考论其业，义指博通，术数略举，是以集录为上下篇，放续前志，以备一家。	故黄帝造历，元起辛卯，而颛顼用乙卯，虞用戊午，夏用丙寅，殷用甲寅，周用丁巳，鲁用庚子。汉兴承秦，初用乙卯，至武帝元封，不与天合，乃会术士作太初历，元以丁丑。王莽之际，刘歆作三统，追太初前*(世)**[卅]*一元，得五星会庚戌之岁，以为上元。太初历到章帝元和，旋复疏阔，征能术者课校诸历，定朔稽元，追汉*(三)***十五年庚辰之岁，追朔一日，乃与天合，以为四分历元。加六百五元一纪，上得庚申。有近于纬，而岁不摄提，以辨历者得开其说，而其元寭与纬同，同则或不得于天。然历之兴废，以疏密课，固不主于元。光和元年中，议郎蔡邕、郎中刘洪补续律历志，邕能着文，清浊钟律，洪能为筭，述敘三光。今考论其业，义指博通，术数略举，是以集录为上下篇，放续前志，以备一家。	四库本卷13'洪能為算述敘三光'直证；敘U+6558非GB2312故□
189	9483	直上七里，赖其羊肠逶迤，名曰环道，往往有戆索，可得而登也。两从者扶挟，前人相牵，后人见前人履底，前人见后人顶，如画重累人矣，所谓磨匤□石，扪天之难也。初上此道，行十余步一休，稍疲，咽唇燋，五六步一休。牒牒据顿，地不避湿暗，前有燥地，目视而两龏不随。早食上，*(脯)**[晡]*后到天门。郭使者得铜物。铜物形状如钟，又方柄有孔，莫能识也，疑封禅具也。得之者汝南召陵人，姓阳名通。东上一里余，得木甲。木甲者，武帝时神也。东北百余步，得封所，始皇立石及阙在南方，汉武在其北。二十余步得北垂圆台，高九尺，方圆三丈所，有两陛。人不得从，上从东陛上。台上有坛，方一丈二尺所，上有方石，四维有距石，四面有阙。乡坛再拜谒，人多置钱物坛上，亦不扫除。国家上见之，则诏书所谓酢梨酸枣狼藉，散钱处数百，币帛具，道是武帝封禅至泰山下，未及上，百官为先上跪拜，置梨枣钱于道以求福，即此也。东山名曰日观，日观者，鸡一鸣时，见日始欲出，长三丈所，秦观者望见长安，吴观者望见会稽，周观者望见*(齐西)**[嵩山]*。北有石室。坛以南有玉盘，中有玉龟。山南胁神泉，饮之极清美利人。日入下去，行数环。日暮时颇雨，不见其道，一人居其前，先知蹈有人，乃举足随之。比至天门下，夜人定矣。”	直上七里，赖其羊肠逶迤，名曰环道，往往有戆索，可得而登也。两从者扶挟，前人相牵，后人见前人履底，前人见后人顶，如画重累人矣，所谓磨胸揑石，扪天之难也。初上此道，行十余步一休，稍疲，咽唇燋，五六步一休。牒牒据顿，地不避湿暗，前有燥地，目视而两龏不随。早食上，*(脯)**[晡]*后到天门。郭使者得铜物。铜物形状如钟，又方柄有孔，莫能识也，疑封禅具也。得之者汝南召陵人，姓阳名通。东上一里余，得木甲。木甲者，武帝时神也。东北百余步，得封所，始皇立石及阙在南方，汉武在其北。二十余步得北垂圆台，高九尺，方圆三丈所，有两陛。人不得从，上从东陛上。台上有坛，方一丈二尺所，上有方石，四维有距石，四面有阙。乡坛再拜谒，人多置钱物坛上，亦不扫除。国家上见之，则诏书所谓酢梨酸枣狼藉，散钱处数百，币帛具，道是武帝封禅至泰山下，未及上，百官为先上跪拜，置梨枣钱于道以求福，即此也。东山名曰日观，日观者，鸡一鸣时，见日始欲出，长三丈所，秦观者望见长安，吴观者望见会稽，周观者望见*(齐西)**[嵩山]*。北有石室。坛以南有玉盘，中有玉龟。山南胁神泉，饮之极清美利人。日入下去，行数环。日暮时颇雨，不见其道，一人居其前，先知蹈有人，乃举足随之。比至天门下，夜人定矣。”	四库本卷17'所謂磨胸捏石捫天之難也'；揑(捏旧形)U+63D1非GB2312故库本□；库本'匤'为'胸'之讹一并复位
195	10342	**尉氏****雍丘**本□国。**襄邑**有滑亭。有承匡城。**外黄**有葵丘聚，齐桓公会此。城中有曲棘里。有繁阳城。**小黄****东昬****济阳****平丘**有临济亭，田儋死此。有匡。有黄池亭。**封丘**有桐牢亭，或曰古虫牢。**酸枣****长垣**侯国。有匡城。有蒲城。有祭城。**己吾**有大棘乡。有首乡。**考城**故菑，章帝更名。故属梁。**圉**故属淮阳。有高阳亭。**扶沟**故属淮阳。	**尉氏****雍丘**本杞国。**襄邑**有滑亭。有承匡城。**外黄**有葵丘聚，齐桓公会此。城中有曲棘里。有繁阳城。**小黄****东昬****济阳****平丘**有临济亭，田儋死此。有匡。有黄池亭。**封丘**有桐牢亭，或曰古虫牢。**酸枣****长垣**侯国。有匡城。有蒲城。有祭城。**己吾**有大棘乡。有首乡。**考城**故菑，章帝更名。故属梁。**圉**故属淮阳。有高阳亭。**扶沟**故属淮阳。	四库本卷31'雍丘本杞國'直证，注'城本名杞城'；杞若作𣏌(⿰木巳)则为异体，殆知阁□或因此，今从四库/点校正字
2	596	二年春正月辛末，宗祀光武皇帝于明堂，帝及公卿列侯始服冠冕、衣裳、玉佩、絇屦以行事。礼毕，登灵台。使尚书令持节诏骠骑将军、	二年春正月辛末，宗祀光武皇帝于明堂，帝及公卿列侯始服冠冕、衣裳、玉佩、絇屦以行事。礼毕，登灵台。使尚书令持节诏骠骑将军、	四库本卷2'其班時令勑羣后'直证；勑(敕)诫告群后
5	965	万方有罪，在予一人，而言事者专咎自下，非助我者也。朕寤寐恫乡，思弭忧衅。昔楚严无灾而惧，成王出郊而反风。将何以匡朕不逮，	万方有罪，在予一人，而言事者专咎自下，非助我者也。朕寤寐恫乡，思弭忧衅。昔楚严无灾而惧，成王出郊而反风。将何以匡朕不逮，	四库本卷4'恤鰥寡'；鰥者老而无妻，与乡孤弱对文
8	1991	冬十月丁亥，中常侍侯览讽有司奏前司空虞放、太仆杜密、长乐少府李膺、司隶校尉朱*(瑀)**[□]*、颍川太守巴肃、沛相荀*	冬十月丁亥，中常侍侯览讽有司奏前司空虞放、太仆杜密、长乐少府李膺、司隶校尉朱*(瑀)**[寓]*、颍川太守巴肃、沛相荀*	点校改字(校记[寓])；党锢八俊司隶校尉朱寓，与杜密李膺巴肃同列
62	4955	后除瑕丘令。檀有□建者，盗窃县内，意屏人问状，建叩头服罪，不忍加刑，遣令长休。建父闻之，为建设酒，谓曰：“吾闻无道之君以	后除瑕丘令。檀有檀建者，盗窃县内，意屏人问状，建叩头服罪，不忍加刑，遣令长休。建父闻之，为建设酒，谓曰：“吾闻无道之君以	四库本卷71'檀有檀建者盗窃县内'；檀建人名
66	5160	后永以事被考，诸弟子皆以通关被系，恢独*(皦)**[曒]*然不□于法，	后永以事被考，诸弟子皆以通关被系，恢独*(皦)**[曒]*然不汚于法，	四库本卷73'恢独曒然不汚于法'；汚同污，不汚于法
76	5696	朴淳□散离，人物错乖。高辛攸降，厥趣各违。道无常稽，与时张弛。	朴淳戹散离，人物错乖。高辛攸降，厥趣各违。道无常稽，与时张弛。	四库本卷82'人有昏厄之戹'；戹同厄
78	5858	熹平元年，青慐见御坐，帝以问赐，赐上封事曰：“臣闻和气致祥，乖气致灾，休征则五福应，咎征则六极至。夫善不妄来，灾不空发。	熹平元年，青慐见御坐，帝以问赐，赐上封事曰：“臣闻和气致祥，乖气致灾，休征则五福应，咎征则六极至。夫善不妄来，灾不空发。	四库本卷84'春秋鬬蛇鬬于郑门'；左传庄公内蛇与外蛇鬬于郑南门
84	6154	洪说超曰：“明府历世受恩，兄弟并据大郡。今王室将危，贼臣虎视，此诚义士效命之秋也。今郡境尚全，吏人殷富，若动桴鼓，可得二	洪说超曰：“明府历世受恩，兄弟并据大郡。今王室将危，贼臣虎视，此诚义士效命之秋也。今郡境尚全，吏人殷富，若动桴鼓，可得二	四库本卷88'豫州刺史孔伷'；孔伷讨董卓豫州刺史，与刘岱并举
86	6158	隔阔相思，发于寤寐。相去步武，而趋舍异规，其为怆恨，胡可胜言！前日不遗，比辱雅叙，述□祸福，公私切至。以子之才，穷该典籍	隔阔相思，发于寤寐。相去步武，而趋舍异规，其为怆恨，胡可胜言！前日不遗，比辱雅叙，述叙祸福，公私切至。以子之才，穷该典籍	四库本卷88'比辱雅叙述叙祸福'；述叙连文
87	6160	仆小人也，本乏志用，中因行役，特蒙倾盖，恩深分厚，遂窃大州，宁乐今日自还接刃乎？每登城临兵，观主人之旗鼓，瞻望帐幄，感故	仆小人也，本乏志用，中因行役，特蒙倾盖，恩深分厚，遂窃大州，宁乐今日自还接刃乎？每登城临兵，观主人之旗鼓，瞻望帐幄，感故	四库本卷88'厄将遘戹'；遘戹=遭厄
